"Sutra Cover, 16th - early 17th century http://t.co/y6ROvdxCf6 http://t.co/Zy1L7tWYVR"
"Adoration of the Kings, c. 1655 http://t.co/ETak6aSY2V http://t.co/I7e8SQeLfu"
"The Charlatan, 1785 http://t.co/4lzBEkuqkP http://t.co/dYV5PfbSnY"
"Intérieur de M. F Rue Montaigne (Interior of Mr. F Rue Montaigne), c. 1910 http://t.co/QCqlWNH7hk http://t.co/67NUNIeTIe"
"Powder Flask, c. 1680 http://t.co/LtWVFw3K7E http://t.co/SRcLR2k7KQ"
"Woman with Fruit, 1961 http://t.co/Hkf8LibzZd http://t.co/5O3FXoOuEi"
"Thumb Latch, 1750-1800 http://t.co/DLBeyIMN2H http://t.co/Ymtw2fvCVv"
"Yachiyo of the Matsubaya, (kamuro) Futaba (?) and Wakaba, 1813 http://t.co/64sXwkFZ3J http://t.co/eIsvi2sl0n"
"Nudes and Landscape, 1931 http://t.co/9sewyzsv9O http://t.co/U5wdYkmOdI"
"Woven Textile, Early 15th century http://t.co/0oqE3lZF3r http://t.co/ybaMp2WgM0"
"Monkey Bridge, c. 1830-1835 http://t.co/ghQ8oPfcPa http://t.co/REmQjb0WpK"
"An Offering to Pan, c. 1808-1815 http://t.co/JeMcew3qYU http://t.co/Jx2ND1aZcI"
"Krishna Encounters the Elephant Kuvalayapida, c. 1720 http://t.co/VmwKo8ltzf http://t.co/e82xqBzqQw"
"Werther, Late 1860s? http://t.co/KAXtFNbtSd http://t.co/173VjrGNHM"
"A Dutiful Wife, from the series Moral Lessons through Pictures of Good and Evil (Kyōkun… http://t.co/bchDsbQgUF http://t.co/zj2efY2XWq"
"Trade Card Pike's Toothache Drops, c. 1880-1890 http://t.co/Qwjynxg777 http://t.co/Wy6NZmiAX8"
"Printed Textile: ""Les Monuments de Paris"", c. 1816-1818 http://t.co/gn6JNlk6NI http://t.co/sxXNlISQXx"
"St. Poelten - Pilgrims Journeying to the Monastery of Goettniel, 1822 http://t.co/xPljv67S8B http://t.co/kifOWz7hwq"
"The Presentation in the Temple, Mid- 16th century http://t.co/V6VnW7KIDK http://t.co/Yex1JG6R5c"
"Regatta in ""Volta di Canal"", c. 1760-1770 http://t.co/yqa53ObnEp http://t.co/LmkDNPVxT5"
"Porringer, 1783-1789 http://t.co/g1cT3M2Nza http://t.co/oD4adp43L9"
"#6 Closed Form, 1990-1999 http://t.co/JSa9tTbkKC http://t.co/Zt5gMBcmmA"
"Rebecca, Taos, New Mexico, 1932 (negative); early to mid- 1980s (print) http://t.co/eTaws1wxOz http://t.co/tSEpfB6OHi"
"Nick Dean at the Philadelphia Museum of Art, 1974 http://t.co/sgjsM2Rg4m http://t.co/z8uw2Iy4zd"
"The Butterfly, 1936 (published 1942) http://t.co/tgenR6chvm http://t.co/Xtg38EihFe"
"Pocketbook, 1792 http://t.co/TmqDtiKUv1 http://t.co/apJ9IV0i93"
"Fork, 1826-1840 http://t.co/AMNzyUjAKg http://t.co/q6KwUmIli6"
"Miniature Plate, c. 1800 http://t.co/vcptQ1xW4P http://t.co/nMYBW87Udj"
"Farmhouse, c. 1730-1732 http://t.co/AxIjP7UoCQ http://t.co/kg5E27avss"
"The Adoration of the Christ Child, c. 1485 http://t.co/qJGiyJRK27 http://t.co/QDvuAd4HFA"
"Sword, c. 1400 http://t.co/9hrTN2V3Ha http://t.co/vZuG7WSwgi"
"Ernie O'Malley, Taos, New Mexico, 1932 (negative); early to mid- 1980s (print) http://t.co/DuJ5TiecYL http://t.co/mYLqhQOaVJ"
"Teabowl, c. 1790-1795 http://t.co/d52qH2Y9gp http://t.co/Ed8xSYUi5P"
"Nan and Vi in Maine, 1982 http://t.co/RCoByChNdg http://t.co/0iMWhhQ7qS"
"Hedge and Gravel, 1969 http://t.co/suBLRAQ9kX http://t.co/bCuLQQ7zh1"
"People Looking at a Waterfall, 1816 http://t.co/Y5T2V0Xq1n http://t.co/gYse99Bskh"
"Teapot with Lid, 1858-1860 http://t.co/zwfQXFALOd http://t.co/BfKkOd9zsg"
"Creamer, c. 1830 http://t.co/TVmyrLfzsd http://t.co/FXgg6YWtQ2"
"II. Song of Moses, 1694 http://t.co/e7QF6X1uKk http://t.co/kfbNxysbVG"
