"A 5.0 magnitude earthquake occurred 27.34mi E of Namie, Japan. Details: http://t.co/z3obmcVNoD Map: http://t.co/xiqrZxMw3X"
"A 5.7 magnitude earthquake occurred 9.94mi ENE of Tonala, Mexico. Details: http://t.co/K5LJWYTPYa Map: http://t.co/F7ptnKQrmC"
"A 5.2 magnitude earthquake occurred 164.66mi NNE of Raoul Island, New Zealand. Details: http://t.co/zS6j1TMeB4 Map: http://t.co/MTxkSLiz0J"
"A 5.1 magnitude earthquake occurred 80.78mi ESE of Lata, Solomon Islands. Details: http://t.co/maJ1ryc62Q Map: http://t.co/yWBbmnCgjq"
"A 5.0 magnitude earthquake occurred 64.62mi SSW of Banda Aceh, Indonesia. Details: http://t.co/k59CdqkgXp Map: http://t.co/FwFWPgOIEe"
"A 5.3 magnitude earthquake occurred 62.14mi SSW of Taron, Papua New Guinea. Details: http://t.co/GYh3CHRTeY Map: http://t.co/UMRbfmne3U"
"A 5.7 magnitude earthquake occurred 52.2mi SW of Hihifo, Tonga. Details: http://t.co/1k6sxAHx4g Map: http://t.co/IDzdpvdr9K"
"A 5.3 magnitude earthquake occurred 49.09mi WSW of Khuzdar, Pakistan. Details: http://t.co/flakqn2z7G Map: http://t.co/PAM7z3MIqQ"
"A 5.4 magnitude earthquake occurred 21.13mi S of Kirakira, Solomon Islands. Details: http://t.co/4xcGdIzeMT Map: http://t.co/TZzkcO8a5N"
"A 5.0 magnitude earthquake occurred in near the east coast of Honshu, Japan. Details: http://t.co/Cl7vlJE2aW Map: http://t.co/vD8Oxw97iO"
"5.2 mag earthquake occurred 57.17mi ENE of Pagan, Northern Mariana Islands. Details: http://t.co/yc0NxaIFeP Map: http://t.co/jdqQuwqQFK"
"A 5.2 magnitude earthquake occurred 0mi W of Lapase, Philippines. Details: http://t.co/rsx86EL68t Map: http://t.co/is9AWXCr9K"
A 5.3 magnitude earthquake occurred in Southern Mid-Atlantic Ridge. Details: http://t.co/i2n82q9BXn Map: http://t.co/AGkHBuxw97
"A 5.1 magnitude earthquake occurred 41.01mi WSW of Nikolski, Alaska. Details: http://t.co/PUsLuLOxyz Map: http://t.co/POKxmr2dQs"
"5.4 magnitude earthquake occurred 27.34mi ENE of San Jose de Jachal, Argentina. Details: http://t.co/o4lJHK3urT Map: http://t.co/scvjy6yYFe"
"A 5.2 magnitude earthquake occurred 78.91mi ENE of Rainbow Beach, Australia. Details: http://t.co/5uWnuKldm1 Map: http://t.co/p6pI9ifki4"
"A 5.6 magnitude earthquake occurred 82.64mi ENE of Rainbow Beach, Australia. Details: http://t.co/1KzE3b2l3Z Map: http://t.co/gxq1mJdHyR"
"A 5.2 magnitude earthquake occurred 16.16mi SW of Nueva Concepcion, Guatemala. Details: http://t.co/U5VniXGwKz Map: http://t.co/8063ms0FSt"
"A 5.1 magnitude earthquake occurred 13.05mi N of Pali, Indonesia. Details: http://t.co/mZhWe9p9df Map: http://t.co/tk2VgqwwJU"
"A 5.0 magnitude earthquake occurred 41.63mi E of Yunaska Island, Alaska. Details: http://t.co/vIT9tSmIFM Map: http://t.co/02FmTxOqkL"
A 5.6 magnitude earthquake occurred in Pacific-Antarctic Ridge. Details: http://t.co/aTw89Rkyd8 Map: http://t.co/bHJgnlbDJq
