"@SMARTPromos 1! Michael Angelakos – lead vocals, keyboards  #SmartBroPassionPit"
@SMARTPromos #SmartBroPassionPit  Carried Away
@SMARTPromos MANNERS #SmartBroPassionPit
RT @SMARTPromos: Which Passion Pit album is your favorite? Answer with the hashtag #SmartBroPassionPit for a chance to win a Smart Bro LTE …
RT @SMARTPromos: Calling all #PassionPit fans! Which Passion Pit song do you like best? Answer and win a Smart Bro LTE pocket wifi! #SmartB…
RT @SMARTPromos: How many members does Passion Pit CURRENTLY have? Answer with #SmartBroPassionPit and get a chance to win a Smart Bro LTE …
@StandardPH Wow! thank you! messaged you on fb :)
@Cream_Oholics still no Cream-O contest on twitter? :((
@iammanginasal Merienda #BuwanNgWika
I AM SO EXCITED FOR THE 10400Mi Power bank!I can recharge my phone anytime!anywhere! #SurpriseMi #LazadaPH @LazadaPH https://t.co/LNKYnUO6Qv
I need buchi from Chowking my goodness
@McDo_PH Ano gamit ng Chicken Mcdo...Android or Iphone? Sympre Iphone! kasi loyal Mc-Mc-intosh users sila #McMcJokes
"@McDo_PH 

Pagnahuli ka na nagnanakaw anong mangyayari?

Edi Mc-Mc kakasuhan o Mc-Mc kukulong 

#McMcJokes"
"RT @belobeauty: Download the #BeloApp on Android or via http://t.co/uw5ebQBdiz, RT this tweet and tag 5 friends to win Belo goodies!😊 http:…"
@humandoll17  @dimplesgon @pppppppeter @PHOEBEfluffy  @rwwwwd1  https://t.co/jbpbk8AeK3
@Toblerone_PH Cake  !!! #TobleroneBirthday
"@StandardPH Ano ang tawag sa Oven Toaster na radyo??

edi Oven ToaStereo. hahaha #ToasterJoke"
"@StandardPH  Anong tawag mo sa sobrang macho at batak na Oven Toaster?  edi 

Oven ToaSteroids #ToasterJoke"
@FOXChannel_PH #FOXFlicks ! https://t.co/kH1UxrfCsz
"@McDo_PH 
Me: Anong kanta ang sobrang napapa sayaw ka  
You:  Ano?
Me: Mc-Mc-HEEEEH MACARENAAAAAAAAAAAAA
#McMcJokes"
RT @McDo_PH: Magaling ka ba mag-joke? Give us your best #McMcJokes and you might take home Chicken Mc-Mc-McDo treats! Sali na! http://t.co/…
@GoldilocksPH Brownie Crisps #Snackakatuwa
"RT @StarplexCinemas: REPLY w/ your FAVORITE 80s video game to ENTER TO WIN a movie prize pack!
Get advance tixs: http://t.co/4wGejY9Hbz htt…"
@StarplexCinemas pacman
@Goods_PH 3D Wireless Optical Mouse #ThankGoodsItsFriday https://t.co/KJOJH5nyJC
@Goods_PH excuse me....she was the 4th one? thought it said th one to answer
#MWInsideOut #MWPopcornClub  https://t.co/xTc5nmaISu
#DermclinicTakesCareOfYou  https://t.co/ahNpwuh7Q9
"@Goods_PH hi, I checked thee hashtag and I was the sixth one hehe"
@AxePhilippines @frankmagalona A. Black and Bold #AxeBlackFrank
@AxePhilippines @frankmagalona you never announce the winners from your axe promos here.
RT @KFCPhilippines: Have you memorized Daniel’s newest song yet? Fill in the blanks &amp;you might get to try the awesome #KFChizza for free! h…
@KFCPhilippines toppings
@modworldinc Done ! :) #MWInsideOut #MWPopcornClub
"@Dove_PH ONE YEAR, still no winners announced... #RealDadMoments"
@Dove_PH Still no winners....AFTER ONE YEAR
@GistPH  alive
@GistPH Billboard’s top 200 charts
@GistPH July 2015
"RT @Goods_PH: 6th one to guess correctly WINS P500GC! Follow, put #ThankGoodsItsFriday &amp; re-tweet (w/ answer) publicly to qualify. http://t…"
KINDER JOY #ThankGoodsItsFriday  https://t.co/MyL2iWyxuj
"RT @KFCPhilippines: If you can mouth the words,you can chew on a #KFChizza. Reply w/ the missing word! You might get to try this- free! 😉 h…"
@KFCPhilippines Merong Pizzang Walang CRUST Doon sa KFC
"@StandardPH Ano sabi ng Oven toaster kay Arnel Pineda? 
(Ano)

Soooo now I come, to yooou with Oven arms....

ngeeeh  #ToasterJoke"
RT @StandardPH: Ilabas mo na ang best #ToasterJoke mo! You may send entries until July 26. :) http://t.co/MoQq9wC8ou
@MySureSeats C. We love you! #MinionsSureSeats
RT @greenwichpizza: Greenwich Twitter Party happening now! http://t.co/vXDvnHnw6J #UltimateBarkadaExperience http://t.co/yQ3oYe13c1
@MySureSeats B. apple #MinionsSureSeats
@dbuzzketball  Sonny Thoss 2-4 #dbuzzketballgame71
@dbuzzketball Cyrus Baguio 4-9 #dbuzzketballgame71
@dbuzzketball Calvin Abueva 3-2 #dbuzzketballgame71
@MySureSeats B. Apple #MinionsSureSeats
"@AcerPhils I'll just shake it off, shake it off. Can't let a bunch of bullies ruin my day #PullitOff"
RT @manila_bulletin: DIGITAL5 Head @coachot launches #PUSO2019 campaign as well as new online shows for @TV5Manila http://t.co/BL12jZqkQl
@ycpizzaofficial PEPPERONI PIZZA  #TwoPizzaFriday 325
@ycpizzaofficial PEPPERONI PIZZA  #TwoPizzaFriday 324
@ycpizzaofficial PEPPERONI PIZZA  #TwoPizzaFriday 323
@ycpizzaofficial PEPPERONI PIZZA  #TwoPizzaFriday 322
